id,title,ideology,headquarter,audience,region,format,year,month,day,link
48,El Pais,republican,madrid,adult,national,daily,1920,1,17,https://hemerotecadigital.bne.es/hd/es/viewer?id=221667e5-a2d9-4f58-8107-e00904c34c35
49,El Siglo Futuro,carlist,madrid,adult,national,daily,1893,4,12,https://hemerotecadigital.bne.es/hd/es/viewer?id=3a076c6f-e11c-4383-9db2-7dd492fe6b37
50,El Siglo Futuro,carlist,madrid,adult,national,daily,1899,9,19,https://hemerotecadigital.bne.es/hd/es/viewer?id=f181ffea-57e8-4534-8d12-5a734510f772
51,El Siglo Futuro,carlist,madrid,adult,national,daily,1905,11,17,https://hemerotecadigital.bne.es/hd/es/viewer?id=413fef0f-2caa-4266-93a3-96bdcc63bf26
52,El Siglo Futuro,carlist,madrid,adult,national,daily,1912,1,23,https://hemerotecadigital.bne.es/hd/es/viewer?id=a2e8d629-3d29-4e7a-9609-eeed1008f972
53,El Siglo Futuro,carlist,madrid,adult,national,daily,1920,12,21,https://hemerotecadigital.bne.es/hd/es/viewer?id=9cd982b8-cc6d-4759-8e49-71038a4e1c46
54,El Siglo Futuro,carlist,madrid,adult,national,daily,1928,7,26,https://hemerotecadigital.bne.es/hd/es/viewer?id=99ee8c23-b4bc-4fed-bd1b-3eaff1b293e4
55,El Siglo Futuro,carlist,madrid,adult,national,daily,1936,4,23,https://hemerotecadigital.bne.es/hd/es/viewer?id=ae5eac21-3e50-48ea-916c-c0b33ca04a67
56,El Sol,liberal,madrid,adult,national,daily,1918,2,14,https://hemerotecadigital.bne.es/hd/es/viewer?id=a52ff135-4cae-4448-ac0e-85a9de7fe688
57,El Sol,liberal,madrid,adult,national,daily,1918,8,11,https://hemerotecadigital.bne.es/hd/es/viewer?id=7bf5adda-542b-448d-9677-2ec2f8b8384a
58,El Sol,liberal,madrid,adult,national,daily,1921,10,8,https://hemerotecadigital.bne.es/hd/es/viewer?id=ebf5021e-e857-40f0-913d-1ce0145f165e
59,El Sol,liberal,madrid,adult,national,daily,1921,4,28,https://hemerotecadigital.bne.es/hd/es/viewer?id=ef4b9702-6b43-46ae-ba6b-119207dc2ef5
60,El Sol,liberal,madrid,adult,national,daily,1925,8,21,https://hemerotecadigital.bne.es/hd/es/viewer?id=e42a540a-f9c9-4a3a-a3e8-4215bf0b58ae
61,El Sol,liberal,madrid,adult,national,daily,1930,10,22,https://hemerotecadigital.bne.es/hd/es/viewer?id=bd5ae412-1105-48a5-9c19-858158dfb36f
62,El Sol,liberal,madrid,adult,national,daily,1930,4,12,https://hemerotecadigital.bne.es/hd/es/viewer?id=68162adc-2a08-4ad1-b089-096fca5d6c41
63,El Sol,liberal,madrid,adult,national,daily,1934,12,21,https://hemerotecadigital.bne.es/hd/es/viewer?id=04c1ebac-91d9-4290-a5d2-d6ab7fd63ee3
64,El Sol,liberal,madrid,adult,national,daily,1934,5,17,https://hemerotecadigital.bne.es/hd/es/viewer?id=676c54e6-1ff1-421b-a7a7-9fd615041599
65,El Sol,liberal,madrid,adult,national,daily,1938,10,1,https://hemerotecadigital.bne.es/hd/es/viewer?id=b0de2129-758c-4bd4-abcf-640034680fe5
66,La Accion,conservative,madrid,adult,national,daily,1916,3,15,https://hemerotecadigital.bne.es/hd/es/viewer?id=415bac07-9e61-4141-87a8-7ee207fbc62a
