id,newspaper,year,month,day,link,ideology,hq,audience,region,format,hq latitude,hq longitude,foundedin,Label
36,el imparcial,1904,10,21,https://hemerotecadigital.bne.es/hd/es/viewer?id=e308e611-ffab-4261-9348-e3c86a006856,liberal,madrid,adult,national,daily,40000,-3.703.790,1867,1867_36
37,el imparcial,1914,5,15,https://hemerotecadigital.bne.es/hd/es/viewer?id=00aaad34-ebbe-4a5d-b1af-1e953ad2c664,liberal,madrid,adult,national,daily,40000,-3.703.790,1867,1867_37
38,el imparcial,1923,12,20,https://hemerotecadigital.bne.es/hd/es/viewer?id=ad118f36-a0da-42ba-938d-6625ad18bee6,liberal,madrid,adult,national,daily,40000,-3.703.790,1867,1867_38
39,el imparcial,1930,3,13,https://hemerotecadigital.bne.es/hd/es/viewer?id=aacee5f2-c2fb-477c-8336-3eb0cca1b62a,liberal,madrid,adult,national,daily,40000,-3.703.790,1867,1867_39
40,el pais,1890,2,22,https://hemerotecadigital.bne.es/hd/es/viewer?id=af142aa9-95e9-43c7-9868-4e04a2ddc73b,republican,madrid,adult,national,daily,404.225.933,-37.054.773,1880,1880_40
41,el pais,1894,5,12,https://hemerotecadigital.bne.es/hd/es/viewer?id=07550362-08a6-45c2-bbf2-51192d618bb6,republican,madrid,adult,national,daily,404.225.933,-37.054.773,1880,1880_41
42,el pais,1899,4,13,https://hemerotecadigital.bne.es/hd/es/viewer?id=6f9e383f-a6a0-4e94-9fe2-acc664077c0f,republican,madrid,adult,national,daily,404.225.933,-37.054.773,1880,1880_42
43,el pais,1902,10,15,https://hemerotecadigital.bne.es/hd/es/viewer?id=a89960b1-eccc-45db-9892-f98c299e50a3,republican,madrid,adult,national,daily,404.225.933,-37.054.773,1880,1880_43
44,el pais,1905,9,20,https://hemerotecadigital.bne.es/hd/es/viewer?id=270b7050-839f-4c41-81de-14ca88282fd3,republican,madrid,adult,national,daily,404.225.933,-37.054.773,1880,1880_44
45,el pais,1909,11,20,https://hemerotecadigital.bne.es/hd/es/viewer?id=37d415fa-b4ad-4a8a-8cda-ed68f4766bd9,republican,madrid,adult,national,daily,404.225.933,-37.054.773,1880,1880_45
46,el pais,1912,9,11,https://hemerotecadigital.bne.es/hd/es/viewer?id=acf1fb37-c3ee-4c18-9531-f571efdac475,republican,madrid,adult,national,daily,404.225.933,-37.054.773,1880,1880_46
47,el pais,1916,4,13,https://hemerotecadigital.bne.es/hd/es/viewer?id=6e292172-aefd-42ad-8ef9-98c0a1c5a098,republican,madrid,adult,national,daily,404.225.933,-37.054.773,1880,1880_47
48,el pais,1920,1,17,https://hemerotecadigital.bne.es/hd/es/viewer?id=221667e5-a2d9-4f58-8107-e00904c34c35,republican,madrid,adult,national,daily,404.225.933,-37.054.773,1880,1880_48
49,el siglo futuro,1893,4,12,https://hemerotecadigital.bne.es/hd/es/viewer?id=3a076c6f-e11c-4383-9db2-7dd492fe6b37,carlist,madrid,adult,national,daily,40.416.775,-4,1875,1875_49
50,el siglo futuro,1899,9,19,https://hemerotecadigital.bne.es/hd/es/viewer?id=f181ffea-57e8-4534-8d12-5a734510f772,carlist,madrid,adult,national,daily,40.416.775,-4,1875,1875_50
51,el siglo futuro,1905,11,17,https://hemerotecadigital.bne.es/hd/es/viewer?id=413fef0f-2caa-4266-93a3-96bdcc63bf26,carlist,madrid,adult,national,daily,40.416.775,-4,1875,1875_51
